row_idx,set,gap_mm,Q_total_mL_min,j_mA_cm2,phi_AN,We_aq,We_org,FE_ADN_obs,FE_PN_obs,FE_TCH_obs,FE_ADN_pred,FE_PN_pred,FE_HER_pred,FE_TCH_pred,V_cathode_pred,converged
139,extended,1.00,6.0,239,0.2600,0.0330,3.3000e-03,68.10,8.50,11.60,70.29,4.99,20.32,4.40,-1.9265,1
140,extended,1.00,6.0,254,0.0600,0.0530,1.7000e-04,56.00,11.40,9.70,49.70,1.26,48.92,0.12,-1.9894,1
141,extended,1.00,6.0,269,0.2200,0.0360,2.3000e-03,64.40,11.00,9.70,70.07,4.22,22.99,2.72,-1.9421,1
142,extended,1.00,6.0,285,0.1400,0.0440,9.5000e-04,68.20,11.50,9.80,67.88,3.34,27.37,1.41,-1.9576,1
144,extended,1.00,6.0,290,0.2900,0.0300,4.1000e-03,60.10,16.30,7.60,70.51,4.21,22.58,2.71,-1.9449,1
146,extended,1.00,10.0,80,0.2900,0.0830,1.1000e-02,52.70,10.90,11.70,61.18,7.35,17.02,14.45,-1.8460,1
147,extended,1.00,10.0,85,0.1600,0.1200,3.4000e-03,71.60,8.90,15.10,62.01,7.21,17.32,13.46,-1.8512,1
148,extended,1.00,10.0,101,0.0800,0.1400,8.6000e-04,79.90,8.50,17.60,64.69,6.55,19.12,9.65,-1.8691,1
149,extended,1.00,10.0,116,0.2400,0.0960,7.7000e-03,60.90,7.40,14.50,64.20,6.94,16.71,12.15,-1.8687,1
150,extended,1.00,10.0,131,0.0400,0.1500,2.1000e-04,73.90,6.90,17.50,60.24,2.95,35.82,0.99,-1.9273,1
151,extended,1.00,10.0,147,0.2000,0.1100,5.4000e-03,60.20,8.40,13.50,66.37,6.55,16.99,10.08,-1.8851,1
152,extended,1.00,10.0,162,0.1200,0.1300,1.9000e-03,76.70,8.00,14.80,67.58,6.19,17.84,8.39,-1.8947,1
153,extended,1.00,10.0,177,0.2800,0.0860,1.1000e-02,60.10,11.80,10.70,67.65,6.35,16.76,9.24,-1.8957,1
155,extended,1.00,10.0,208,0.1800,0.1100,4.3000e-03,64.90,11.50,11.20,69.40,5.72,18.25,6.63,-1.9118,1
156,extended,1.00,10.0,223,0.1000,0.1300,1.3000e-03,70.60,12.80,11.90,69.96,5.16,20.03,4.85,-1.9226,1
157,extended,1.00,10.0,239,0.2600,0.0910,9.1000e-03,58.50,14.00,9.80,70.22,5.55,18.12,6.11,-1.9197,1
158,extended,1.00,10.0,254,0.0600,0.1500,4.8000e-04,69.30,15.60,12.10,56.88,1.83,41.00,0.29,-1.9783,1
159,extended,1.00,10.0,269,0.2200,0.1000,6.5000e-03,61.90,12.40,9.70,70.93,4.96,19.74,4.37,-1.9328,1
160,extended,1.00,10.0,285,0.1400,0.1200,2.6000e-03,67.60,11.40,10.50,70.49,4.26,22.46,2.79,-1.9453,1
162,extended,1.00,10.0,290,0.2900,0.0830,1.1000e-02,61.80,10.90,9.60,71.33,4.95,19.36,4.37,-1.9357,1
2,holdout,0.25,2.0,80,0.2900,0.0130,1.8000e-03,43.90,2.00,9.70,60.51,7.48,16.39,15.61,-1.8439,1
3,holdout,0.25,2.0,85,0.1600,0.0190,5.5000e-04,46.40,3.10,10.00,61.22,7.39,16.51,14.88,-1.8485,1
4,holdout,0.25,2.0,101,0.0800,0.0220,1.4000e-04,45.80,5.60,9.90,63.79,6.90,17.66,11.64,-1.8643,1
5,holdout,0.25,2.0,116,0.2400,0.0150,1.2000e-03,47.50,2.30,11.20,63.22,7.19,15.71,13.89,-1.8652,1
6,holdout,0.25,2.0,131,0.0400,0.0240,3.4000e-05,6.00,6.30,0.80,64.62,3.97,29.23,2.18,-1.9143,1
7,holdout,0.25,2.0,147,0.2000,0.0170,8.6000e-04,54.10,1.60,12.90,65.19,6.91,15.57,12.32,-1.8800,1
8,holdout,0.25,2.0,162,0.1200,0.0200,3.1000e-04,49.90,6.00,12.20,66.36,6.68,15.95,11.00,-1.8879,1
9,holdout,0.25,2.0,177,0.2800,0.0140,1.7000e-03,55.00,1.50,13.60,66.40,6.76,15.18,11.66,-1.8900,1
11,holdout,0.25,2.0,208,0.1800,0.0180,6.9000e-04,43.40,9.50,9.60,68.24,6.37,15.80,9.58,-1.9032,1
12,holdout,0.25,2.0,223,0.1000,0.0210,2.1000e-04,23.40,4.90,4.30,69.26,6.05,16.62,8.06,-1.9112,1
13,holdout,0.25,2.0,239,0.2600,0.0140,1.4000e-03,66.30,1.70,15.00,69.09,6.26,15.51,9.14,-1.9105,1
