row_idx,set,gap_mm,Q_total_mL_min,j_mA_cm2,phi_AN,We_aq,We_org,FE_ADN_obs,FE_PN_obs,FE_TCH_obs,FE_ADN_pred,FE_PN_pred,FE_TCH_pred,V_cathode_pred,converged
142,extended,1.0,6.0,285.0,0.14,0.044,0.00095,68.2,11.5,9.8,NaN,NaN,NaN,NaN,0
144,extended,1.0,6.0,290.0,0.29,0.03,0.0041,60.1,16.3,7.6,NaN,NaN,NaN,NaN,0
146,core,1.0,10.0,80.0,0.29,0.083,0.011,52.7,10.9,11.7,63.574036318098166,8.472285610766791,13.307622158628833,-1.8360260937500001,1
147,core,1.0,10.0,85.0,0.16,0.12,0.0034,71.6,8.9,15.1,63.13209811360941,8.661831884370663,13.184612864086716,-1.841826875,1
148,core,1.0,10.0,101.0,0.08,0.14,0.00086,79.9,8.5,17.6,NaN,NaN,NaN,NaN,0
149,core,1.0,10.0,116.0,0.24,0.096,0.0077,60.9,7.4,14.5,63.21394405271308,8.965774174753307,13.090968889416109,-1.860389375,1
150,core,1.0,10.0,131.0,0.04,0.15,0.00021,73.9,6.9,17.5,NaN,NaN,NaN,NaN,0
151,core,1.0,10.0,147.0,0.2,0.11,0.0054,60.2,8.4,13.5,62.32096457459089,9.49048553535333,12.806071456263924,-1.878526484375,1
152,core,1.0,10.0,162.0,0.12,0.13,0.0019,76.7,8.0,14.8,60.98079586906008,9.992050027281403,12.475224151295565,-1.8897284375,1
153,core,1.0,10.0,177.0,0.28,0.086,0.011,60.1,11.8,10.7,62.159940336993856,9.747471334239103,12.705522220571211,-1.8900120312500002,1
155,extended,1.0,10.0,208.0,0.18,0.11,0.0043,64.9,11.5,11.2,59.733911275159905,10.647446282144625,12.118057500449808,-1.9090128125,1
156,extended,1.0,10.0,223.0,0.1,0.13,0.0013,70.6,12.8,11.9,NaN,NaN,NaN,NaN,0
157,extended,1.0,10.0,239.0,0.26,0.091,0.0091,58.5,14.0,9.8,59.485262969955684,10.89315667721232,12.017811312624342,-1.91780421875,1
158,extended,1.0,10.0,254.0,0.06,0.15,0.00048,69.3,15.6,12.1,NaN,NaN,NaN,NaN,0
159,extended,1.0,10.0,269.0,0.22,0.1,0.0065,61.9,12.4,9.7,56.98736895253531,11.73117144026609,11.443956101468833,-1.93311828125,1
160,extended,1.0,10.0,285.0,0.14,0.12,0.0026,67.6,11.4,10.5,53.42715023622693,12.694058102795864,10.673892963889076,-1.9474397656250002,1
162,extended,1.0,10.0,290.0,0.29,0.083,0.011,61.8,10.9,9.6,57.27581838365907,11.75574801010133,11.481979304323978,-1.9361008984375,1
